code_iris,median_income,poverty_rate,income_d1,income_d9,income_inequality_ratio,gini_index,income_q1,income_q3,code_insee
031850116,19130.0,25.0,10280.0,28960.0,2.8,0.233,14010.0,23810.0,03185
031850117,16270.0,36.0,9190.0,26890.0,2.9,0.232,12030.0,21110.0,03185
031900101,21120.0,19.0,11290.0,41830.0,3.7,0.315,15270.0,29170.0,03190
031900102,20270.0,20.0,11240.0,38030.0,3.4,0.297,14960.0,28490.0,03190
031900103,20310.0,21.0,10500.0,31940.0,3.0,0.229,14640.0,25090.0,03190
031900104,18890.0,25.0,9790.0,33020.0,3.4,0.255,13800.0,25220.0,03190
031900105,22770.0,12.0,13230.0,38490.0,2.9,0.259,17170.0,29760.0,03190
031900106,22680.0,15.0,11980.0,42920.0,3.6,0.305,17250.0,30700.0,03190
031900107,17180.0,32.0,9770.0,29690.0,3.0,0.245,12830.0,23620.0,03190
031900108,14790.0,44.0,8870.0,26110.0,2.9,0.243,11290.0,20590.0,03190
031900109,21540.0,17.0,11700.0,34420.0,2.9,0.223,16410.0,27190.0,03190
032540101,20240.0,19.0,12190.0,36680.0,3.0,0.264,15250.0,26960.0,03254
032540102,21430.0,14.0,12730.0,33810.0,2.7,0.234,16490.0,27780.0,03254
033100101,19650.0,26.0,9150.0,39100.0,4.3,0.327,13500.0,27640.0,03310
033100102,17900.0,29.0,9330.0,33990.0,3.6,0.297,13130.0,25020.0,03310
033100103,18790.0,27.0,9630.0,29910.0,3.1,0.253,13260.0,24410.0,03310
033100104,21080.0,19.0,11680.0,34070.0,2.9,0.258,15470.0,27420.0,03310
033100105,20400.0,22.0,9800.0,39230.0,4.0,0.308,14420.0,28840.0,03310
033100106,24830.0,15.0,11190.0,50930.0,4.6,0.343,17410.0,34600.0,03310
033100107,23910.0,16.0,12140.0,48010.0,4.0,0.317,16920.0,34820.0,03310
033100108,22440.0,13.0,12690.0,39950.0,3.1,0.251,16970.0,30560.0,03310
033100109,14480.0,44.0,8900.0,23900.0,2.7,0.224,11180.0,19220.0,03310
033100110,20690.0,18.0,11810.0,33060.0,2.8,0.236,16100.0,26340.0,03310
033210101,23880.0,11.0,13560.0,37310.0,2.8,0.242,18520.0,30070.0,03321
033210102,23490.0,10.0,13900.0,36670.0,2.6,0.217,18750.0,29470.0,03321
033210103,21250.0,19.0,11110.0,34490.0,3.1,0.252,15450.0,27920.0,03321
033210104,24700.0,7.0,15160.0,37440.0,2.5,0.209,19940.0,30500.0,03321
033210105,25890.0,7.0,16430.0,39070.0,2.4,0.216,20650.0,31840.0,03321
033210106,,,,,,,,,03321
040490101,20500.0,18.0,12200.0,34510.0,2.8,0.235,15300.0,26800.0,04049
040490102,21400.0,16.0,12070.0,32640.0,2.7,0.215,16110.0,26780.0,04049
040700101,21900.0,13.0,12590.0,35020.0,2.8,0.244,16260.0,27750.0,04070
040700102,18370.0,27.0,10230.0,34500.0,3.4,0.282,13490.0,25720.0,04070
040700103,23880.0,13.0,11890.0,41920.0,3.5,0.28,17820.0,31200.0,04070
040700104,21390.0,19.0,12100.0,34860.0,2.9,0.238,15370.0,28500.0,04070
040700105,22460.0,14.0,12740.0,35990.0,2.8,0.234,16750.0,28570.0,04070
040700106,25380.0,7.0,15260.0,37780.0,2.5,0.219,19720.0,31430.0,04070
040700107,15410.0,40.0,8650.0,27190.0,3.1,0.273,11550.0,20850.0,04070
040700108,20340.0,18.0,11340.0,35080.0,3.1,0.266,15230.0,27140.0,04070
040700109,,,,,,,,,04070
041120101,15060.0,39.0,8800.0,27910.0,3.2,0.28,11540.0,20970.0,04112
041120102,18730.0,22.0,10640.0,33470.0,3.1,0.249,14350.0,24720.0,04112
041120103,18280.0,28.0,10130.0,35290.0,3.5,0.289,13230.0,26000.0,04112
041120104,24370.0,11.0,13460.0,39520.0,2.9,0.271,16970.0,31020.0,04112
041120105,24300.0,13.0,12560.0,42550.0,3.4,0.73,17800.0,32410.0,04112
041120106,23050.0,16.0,11900.0,40500.0,3.4,0.272,16680.0,30810.0,04112
041120107,15370.0,41.0,8980.0,29970.0,3.3,0.288,11760.0,21880.0,04112
041120108,26240.0,9.0,14330.0,44500.0,3.1,0.261,19170.0,33980.0,04112
041120109,24970.0,13.0,12660.0,46560.0,3.7,0.29,18430.0,34630.0,04112
041120110,,,,,,,,,04112
042090101,17960.0,27.0,9990.0,30470.0,3.0,0.255,13420.0,23910.0,04209
042090102,20090.0,23.0,10810.0,34650.0,3.2,0.275,14370.0,25820.0,04209
042090103,23850.0,10.0,13950.0,38530.0,2.8,0.234,18350.0,30770.0,04209
050230101,,,,,,,,,05023
050230102,20770.0,17.0,11600.0,36100.0,3.1,0.264,15670.0,26950.0,05023
050230103,21700.0,13.0,13140.0,36230.0,2.8,0.26,17110.0,27970.0,05023
050230104,22490.0,14.0,12500.0,37930.0,3.0,0.262,16960.0,28290.0,05023
050230105,22360.0,14.0,12470.0,36130.0,2.9,0.265,16560.0,29090.0,05023
050230106,,,,,,,,,05023
050230107,,,,,,,,,05023
050230108,,,,,,,,,05023
050230109,,,,,,,,,05023
050460101,18790.0,23.0,10600.0,32150.0,3.0,0.269,14170.0,24680.0,05046
050460102,20950.0,17.0,12090.0,35370.0,2.9,0.25,15730.0,27500.0,05046
050460103,23910.0,10.0,14000.0,40760.0,2.9,0.293,18250.0,31080.0,05046
050610101,17680.0,29.0,9520.0,32720.0,3.4,0.283,12970.0,23980.0,05061
050610102,21740.0,17.0,11530.0,36110.0,3.1,0.26,15790.0,28050.0,05061
050610103,23940.0,11.0,13300.0,40440.0,3.0,0.262,18230.0,31640.0,05061
050610104,25640.0,6.0,16030.0,43790.0,2.7,0.267,20120.0,32890.0,05061
050610105,21190.0,15.0,12180.0,36180.0,3.0,0.253,16040.0,27360.0,05061
050610106,18680.0,27.0,9850.0,35130.0,3.6,0.288,13530.0,25470.0,05061
050610107,20410.0,19.0,12060.0,34050.0,2.8,0.239,15500.0,26410.0,05061
050610108,22860.0,19.0,11300.0,40290.0,3.6,0.277,15800.0,30020.0,05061
050610109,25500.0,10.0,14050.0,44770.0,3.2,0.269,19480.0,33820.0,05061
050610110,20100.0,19.0,11100.0,33190.0,3.0,0.257,15040.0,25340.0,05061
050610111,20200.0,21.0,11010.0,33080.0,3.0,0.243,14920.0,25960.0,05061
050610112,22490.0,12.0,13240.0,36010.0,2.7,0.226,17010.0,28200.0,05061
050610113,22210.0,15.0,12000.0,34260.0,2.9,0.232,17380.0,27340.0,05061
050610114,23470.0,8.0,15210.0,38310.0,2.5,0.227,18920.0,29630.0,05061
050610115,19740.0,23.0,10870.0,32550.0,3.0,0.243,14160.0,25670.0,05061
050610116,22560.0,13.0,13200.0,36550.0,2.8,0.236,17430.0,28460.0,05061
050610117,,,,,,,,,05061
050610118,,,,,,,,,05061
050610119,,,,,,,,,05061
050610120,,,,,,,,,05061
050610201,24010.0,7.0,15360.0,38130.0,2.5,0.218,19260.0,30530.0,05061
060040101,23310.0,17.0,11690.0,42330.0,3.6,0.294,16770.0,31760.0,06004
060040102,25530.0,7.0,14800.0,42030.0,2.8,0.261,19400.0,33170.0,06004
060040103,,,,,,,,,06004
060040104,28740.0,7.0,16170.0,52400.0,3.2,0.278,21800.0,38150.0,06004
060040105,28200.0,10.0,13920.0,53480.0,3.8,0.311,20660.0,39050.0,06004
060040106,25650.0,13.0,12530.0,44410.0,3.5,0.39,18560.0,34630.0,06004
060040107,22950.0,15.0,12010.0,39770.0,3.3,0.304,16750.0,30480.0,06004
060040108,23890.0,16.0,12070.0,39250.0,3.3,0.267,16800.0,30700.0,06004
060040109,23740.0,13.0,12910.0,39940.0,3.1,0.254,17670.0,31220.0,06004
060040110,26010.0,11.0,13640.0,42290.0,3.1,0.433,19440.0,33670.0,06004
060040111,23540.0,17.0,11210.0,45230.0,4.0,0.298,16420.0,32030.0,06004
060040112,24870.0,11.0,13260.0,42130.0,3.2,0.254,18280.0,32840.0,06004
060040113,,,,,,,,,06004
060040114,21700.0,19.0,11020.0,41430.0,3.8,0.306,15270.0,30420.0,06004
060040115,19490.0,27.0,7790.0,42010.0,5.4,0.364,13160.0,29240.0,06004
060040116,24960.0,10.0,13710.0,38520.0,2.8,0.222,19110.0,31500.0,06004
060040117,27100.0,10.0,13630.0,46530.0,3.4,0.282,20040.0,35610.0,06004
060040118,23780.0,15.0,11770.0,45200.0,3.8,0.309,16780.0,33070.0,06004
060040119,25460.0,10.0,14000.0,45720.0,3.3,0.287,18880.0,34490.0,06004
060040120,23080.0,17.0,11660.0,42070.0,3.6,0.292,15820.0,31910.0,06004
060040121,25650.0,13.0,12950.0,46480.0,3.6,0.286,18040.0,36380.0,06004
060040122,28100.0,11.0,13120.0,57710.0,4.4,0.354,19750.0,39300.0,06004
060040123,22370.0,16.0,11310.0,39380.0,3.5,0.293,15990.0,29850.0,06004
060040124,24910.0,17.0,11030.0,50480.0,4.6,0.354,16530.0,35580.0,06004
060040125,21100.0,24.0,9360.0,41130.0,4.4,0.341,14080.0,30140.0,06004
060040126,21610.0,20.0,10740.0,38670.0,3.6,0.282,15270.0,29360.0,06004
060120101,24060.0,17.0,10540.0,44370.0,4.2,0.335,16170.0,32960.0,06012
060120102,20370.0,27.0,7320.0,40420.0,5.5,0.347,13420.0,28770.0,06012
060120103,22320.0,18.0,9920.0,36540.0,3.7,0.275,16450.0,29090.0,06012
060120104,23650.0,16.0,9590.0,41290.0,4.3,0.314,16690.0,31150.0,06012
060120105,22140.0,22.0,8110.0,42090.0,5.2,0.356,14810.0,29840.0,06012
060180101,27590.0,11.0,13420.0,52970.0,3.9,0.308,19510.0,37000.0,06018
060180102,31410.0,7.0,16050.0,59330.0,3.7,0.299,23120.0,43750.0,06018
060180103,31530.0,7.0,15270.0,63290.0,4.1,0.421,22330.0,44270.0,06018
060270101,20600.0,22.0,10970.0,36720.0,3.3,0.278,14620.0,27320.0,06027
060270102,19840.0,18.0,11580.0,32620.0,2.8,0.231,15090.0,25700.0,06027
060270103,23500.0,15.0,12060.0,42780.0,3.5,0.285,17060.0,31720.0,06027
060270104,27140.0,10.0,14160.0,49720.0,3.5,0.282,19370.0,36340.0,06027
