structure,nom1,nom2,adresse1,adresse2,cp,ville,longitude,latitude,coordonnees_geoloc,coordonnees_ban,region,coordonnees_finales.lon,coordonnees_finales.lat,coordonnees_finales
SMAC,La Gare,Association AVEC,Place du Marché,,84660.0,MAUBEC,,,,"43.867831, 5.143548",Provence-Alpes-Côte d'Azur,5.143548,43.867831,
Scène Nationale,Le Grand R,,Esplanade Jeannie Mazurelle,,85000.0,LA-ROCHE-SUR-YON Cedex,-1.429359,46.66772500000001,"46.66772500000001,-1.429359",,Pays de la Loire,-1.429359,46.66772500000001,
Centre d’art,WHARF - CENTRE D'ART CONTEMPORAIN,DE BASSE-NORMANDIE,"7, passage de la Poste",,14200.0,HÉROUVILLE SAINT-CLAIR,,,,"49.203271, -0.333183",Normandie,-0.333183,49.203271,
SMAC,SMAC d'agglomération Bordelaise : Krakatoa,Transrock,"3, avenue Victor Hugo",C/o Transrock,33700.0,MERIGNAC,,,,"44.823628, -0.62452",Nouvelle-Aquitaine,-0.6245200000000001,44.823628,
SMAC,Le Triton,,"11 bis, rue du Coq Français",,93260.0,LES LILAS,,,,"48.878456, 2.414876",Île-de-France,2.414876,48.878456,
SMAC,Espace Michel Berger (EMB),ADAME Association pour le développement et l'aide aux musiques électroniques,"2, rue Georges Pompidou",,95110.0,SANNOIS,,,,"48.973023, 2.262891",Île-de-France,2.2628909999999998,48.973023,
FRAC,Fonds régional d'art contemporain LIMOUSIN,,"""Les Coopérateurs"" - Impasse des Charentes",,87100.0,LIMOGES,,,,"45.858524, 1.255511",Nouvelle-Aquitaine,1.255511,45.858524,
FRAC,Fonds régional d'art contemporain PROVENCE-ALPES-CÔTE D'AZUR,,"1, place Francis-Chirat",,13002.0,MARSEILLE,,,,"43.300923, 5.367292",Provence-Alpes-Côte d'Azur,5.367292,43.300923,
Centre d’art,CENTRE D'ART CONTEMPORAIN,Le LAIT,"35, rue Chambre de l'Edit",,81100.0,CASTRES,,,,"43.604466, 2.238475",Occitanie,2.238475,43.604466,
Centres nationaux de création musicale,La Muse en Circuit,,"18, rue Marcelin Berthelot",,94140.0,Alfortville,2.412615,48.813405,"48.813405,2.412615","48.813297, 2.412578",Île-de-France,2.4126149999999997,48.813405,
